Date,Auto,Energy,FMCG,Infra,IT,Media,Metal,Pharma,Realty,Banking
2025-01-22,30.169946446318413,18.927322470671896,44.82242927629564,16.275714300591172,57.113590370641354,14.331631152492767,8.243096756025384,43.65496481642559,5.349959457567142,25.45603193648854
2025-01-23,32.82076567178171,20.949066101402323,44.76716319712242,18.055089927989265,60.85808335687353,19.462002679228902,9.468802342095325,49.678184696664054,6.774152954334321,25.38769014321903
2025-01-24,30.096944306547673,17.14164123109904,53.50923011268001,16.77594943466591,60.15550651089108,18.17405795274235,5.759521951161601,41.59256509845633,2.288627246792625,24.774877699504554
2025-01-27,27.346395287775543,8.015990618354806,46.14821652763076,4.707688167321471,50.9734516008441,8.097313493028182,0.0,32.997176655866525,1.8863206137138206,22.660681112909522
2025-01-28,30.96173384815661,4.168934164981075,44.1431285696065,4.376154406316876,51.40683997125325,0.0,1.1199910552627068,20.169521502044766,0.0,27.803336885384944
2025-01-29,39.197519785939775,15.258657214821891,39.69985178418776,12.713521414031865,58.23727565623784,5.782182052183674,10.521320054705265,29.534853843011337,5.317581180945416,32.03431327186485
2025-01-30,39.04064016178447,22.90860028831162,41.498985507129724,19.972150904358234,53.849893152037964,7.558863269678051,13.283448331328987,29.439663015211586,8.988481697735985,36.40788621875407
2025-01-31,45.048094386352915,34.046057604233724,51.73117496500845,27.881981843383745,57.081856994321,10.751854980240847,18.59146007971218,20.348064491773762,13.225036881215344,39.36672143991334
2025-02-01,50.88242999919947,39.90109606415518,54.86277387869338,36.65759101389353,62.30650370394804,14.213559669475243,22.508071520204883,22.481748292833483,20.375557575701023,43.345608682534845
2025-02-03,59.982225634160514,19.777788392207768,59.160212991166794,18.023076238315316,60.7935893196654,21.03166284382762,11.25723423515944,20.652729694498724,24.979610794188908,37.74574692978477
2025-02-04,58.9798865801605,27.019442647436225,51.97625391185875,28.992028705403445,63.84035462318154,22.628315111041633,17.867846760053634,27.112385408542277,25.328584723327403,43.57303243282511
2025-02-05,55.9938759157382,31.48915860503008,45.749979401965355,28.421380239509663,64.12605953414914,32.05768004283105,23.210933524187695,26.92971351465665,21.114097099173026,46.36316148481402
2025-02-06,50.22315871087727,30.290900142228928,40.10849104192752,27.70679634722109,65.28945362042136,29.25032453125194,23.910300492311904,25.42857495332867,18.065134087224983,47.20161959522511
2025-02-07,57.174181995634484,29.273127735771393,30.72119091323753,31.24226352257031,62.661192323719014,30.744125071390492,35.87717575955126,22.061768298315222,21.14189872949895,47.24924147627521
2025-02-10,52.01613935707653,18.552762220139215,28.477172389080234,25.44264923196158,65.00753350867137,25.087667060499662,26.656154223622895,11.445877775668054,16.36452337888735,48.340810710470414
2025-02-11,45.63741638988194,12.564573461315826,21.444612884913745,19.5204684632024,61.93657260360435,18.752935604256287,22.392133620243985,3.7158455551849907,10.853433338151804,44.95825244932959
2025-02-12,27.03750260922819,7.874735626921056,16.599696286315602,13.066832532901792,56.17035687573272,18.793625780027856,23.86407167881424,1.9008555274420402,6.247230628329311,45.26810193930344
2025-02-13,25.130581379927154,4.89139523998909,9.743311676078081,12.26794374213161,56.311178052599274,14.620864006417683,25.95275970166445,11.95738493058288,8.690770349315896,47.4037518218821
2025-02-14,26.830993626771395,7.084397484696275,16.360150478246062,16.297848619041126,55.65439973399112,11.234293891348369,28.842177987995804,0.41006235626076015,9.911486083349413,51.425326202925945
2025-02-17,25.124595260755108,4.792238838083816,14.942500880920523,13.149077481036592,56.258725591115045,5.856282916710417,27.6596698930139,4.3611363199345,8.579788900397247,50.68080438801687
