Date,Sector,Daily_Return,Rolling_30,Rolling_60,Rolling_90,Momentum,Relative_Strength,Volatility
2024-07-30,Metal,0.19099716475181605,,,,,,1.4716196024047945
2024-07-30,Pharma,-0.6189100428616201,,,,,,0.983134343028794
2024-07-30,Realty,0.4345638157276177,,,,,,1.7400805217040278
2024-07-30,Banking,0.18101063829787378,,,,,,0.9949850623136581
2024-07-30,NIFTY50,0.08536433743000504,,,,,,0.8435028063871604
2024-07-31,Auto,0.3923892273058005,,,,,,1.3016454034203468
2024-07-31,Energy,0.4064129314806708,,,,,,1.154938569901908
2024-07-31,FMCG,0.42575780706579636,,,,,,0.8783298354882301
2024-07-31,Infra,0.5935341335642663,,,,,,1.0007594964175097
2024-07-31,IT,0.18331703827261236,,,,,,1.4692793984869545
2024-07-31,Media,1.0672285459273567,,,,,,1.501475484148305
2024-07-31,Metal,1.2151091372469391,,,,,,1.4716196024047945
2024-07-31,Pharma,1.0972183057406548,,,,,,0.983134343028794
2024-07-31,Realty,-0.36892408890383255,,,,,,1.7400805217040278
2024-07-31,Banking,0.10504541892673025,,,,,,0.9949850623136581
2024-07-31,NIFTY50,0.377553501085659,,,,,,0.8435028063871604
2024-08-01,Auto,-0.7412363805847755,,,,,,1.3016454034203468
2024-08-01,Energy,1.9680458144493151,,,,,,1.154938569901908
2024-08-01,FMCG,0.14657985887283065,,,,,,0.8783298354882301
2024-08-01,Infra,0.3379101812738483,,,,,,1.0007594964175097
2024-08-01,IT,-0.3468771210078714,,,,,,1.4692793984869545
2024-08-01,Media,-1.8863120318730942,,,,,,1.501475484148305
2024-08-01,Metal,-0.1064360758888716,,,,,,1.4716196024047945
2024-08-01,Pharma,0.060610403626015774,,,,,,0.983134343028794
2024-08-01,Realty,-1.7005691964285696,,,,,,1.7400805217040278
2024-08-01,Banking,0.02056423595984125,,,,,,0.9949850623136581
2024-08-01,NIFTY50,0.23946791656728195,,,,,,0.8435028063871604
2024-08-02,Auto,-2.9183633109254092,,,,,,1.3016454034203468
2024-08-02,Energy,-1.3796169890372578,,,,,,1.154938569901908
2024-08-02,FMCG,-0.6884811890473075,,,,,,0.8783298354882301
2024-08-02,Infra,-1.5999496737141516,,,,,,1.0007594964175097
2024-08-02,IT,-2.4050899640612022,,,,,,1.4692793984869545
2024-08-02,Media,-0.4195933871646962,,,,,,1.501475484148305
2024-08-02,Metal,-2.7018174210087786,,,,,,1.4716196024047945
2024-08-02,Pharma,0.5162835935023091,,,,,,0.983134343028794
2024-08-02,Realty,-3.5343904698983075,,,,,,1.7400805217040278
2024-08-02,Banking,-0.41473035935923885,,,,,,0.9949850623136581
2024-08-02,NIFTY50,-1.172293549195469,,,,,,0.8435028063871604
2024-08-05,Auto,-3.9197775934280643,,,,,,1.3016454034203468
2024-08-05,Energy,-3.819511015749677,,,,,,1.154938569901908
2024-08-05,FMCG,-0.31532715310754744,,,,,,0.8783298354882301
2024-08-05,Infra,-3.2785837201367296,,,,,,1.0007594964175097
2024-08-05,IT,-3.257844861599557,,,,,,1.4692793984869545
2024-08-05,Media,-4.575541371332614,,,,,,1.501475484148305
